EngineSize,Cylinders,FuelType,FuelC
2.00,4.00,2.00,8.10
2.50,4.00,2.00,7.50
2.50,4.00,2.00,7.90
2.50,4.00,2.00,8.10
5.60,8.00,2.00,15.50
2.50,4.00,2.00,12.30
4.00,6.00,2.00,12.70
4.00,6.00,2.00,13.90
4.00,6.00,2.00,13.50
3.80,6.00,1.00,12.60
1.60,4.00,2.00,7.20
3.50,6.00,1.00,9.90
1.60,4.00,2.00,8.00
1.60,4.00,2.00,7.90
3.50,6.00,2.00,10.20
3.50,6.00,2.00,10.30
2.00,4.00,2.00,9.30
3.50,6.00,2.00,10.20
3.50,6.00,2.00,10.70
3.50,6.00,2.00,11.00
2.00,4.00,2.00,8.00
2.00,4.00,2.00,9.20
2.00,4.00,2.00,8.40
2.50,4.00,2.00,8.20
2.50,4.00,2.00,8.70
1.80,4.00,2.00,7.30
1.80,4.00,2.00,7.80
1.60,4.00,1.00,8.20
1.60,4.00,1.00,8.30
1.60,4.00,1.00,8.70
1.60,4.00,1.00,8.70
5.60,8.00,2.00,13.30
5.60,8.00,2.00,13.40
5.60,8.00,2.00,14.10
1.60,4.00,2.00,7.00
1.60,4.00,2.00,7.70
3.00,6.00,1.00,9.40
3.00,6.00,1.00,10.10
3.00,6.00,1.00,9.70
3.00,6.00,1.00,10.30
3.00,6.00,1.00,10.40
3.00,6.00,1.00,11.20
3.00,6.00,1.00,10.70
3.00,6.00,1.00,11.00
3.00,6.00,1.00,9.70
3.00,6.00,1.00,10.30
3.00,6.00,1.00,9.70
3.00,6.00,1.00,10.40
3.00,6.00,1.00,10.60
3.00,6.00,1.00,12.30
3.00,6.00,1.00,9.60
3.00,6.00,1.00,10.40
3.00,6.00,1.00,9.80
