Merk,EngineSize,Cylinders,FuelType,FuelC
27.00,3.00,6.00,1.00,12.60
27.00,3.00,6.00,1.00,12.60
27.00,4.70,8.00,1.00,15.00
27.00,3.00,6.00,1.00,13.70
27.00,3.00,6.00,1.00,14.00
27.00,3.80,8.00,1.00,15.30
27.00,3.80,8.00,1.00,15.30
27.00,3.00,6.00,1.00,12.80
27.00,3.00,6.00,1.00,12.80
27.00,3.80,8.00,1.00,13.70
28.00,2.00,4.00,2.00,7.70
28.00,2.00,4.00,2.00,8.00
28.00,2.00,4.00,2.00,8.10
28.00,2.00,4.00,2.00,8.80
28.00,2.50,4.00,2.00,8.80
28.00,2.50,4.00,2.00,8.50
28.00,2.50,4.00,2.00,9.30
28.00,2.50,4.00,2.00,9.00
28.00,2.50,4.00,2.00,9.80
28.00,2.20,4.00,3.00,8.40
28.00,2.50,4.00,2.00,9.60
28.00,2.50,4.00,2.00,10.50
28.00,2.00,4.00,2.00,7.60
28.00,2.00,4.00,2.00,7.70
28.00,2.50,4.00,2.00,7.70
28.00,2.50,4.00,2.00,7.80
28.00,2.50,4.00,2.00,8.20
28.00,2.00,4.00,2.00,7.70
28.00,2.00,4.00,2.00,7.80
28.00,2.50,4.00,2.00,8.00
28.00,2.50,4.00,2.00,8.10
28.00,2.50,4.00,2.00,8.70
28.00,2.50,4.00,2.00,8.00
28.00,2.50,4.00,2.00,8.90
28.00,2.00,4.00,1.00,7.90
28.00,2.00,4.00,1.00,8.10
